SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,dummy
1,*挿入,Insert,,,,,,,InsertMouth,,,,,
1,*待機,Waiting,,,,,,,Waiting,,,,,
1,*初々しい射精外,Orgasm,Belly,Face,,Maid1,Maid1,,3PFellatioFace,,OrgasmWaitExcite,,,
1,*初々しい射精中,Orgasm,Vagina,Mouth,,Maid1,Maid1,,3PFellatio,,OrgasmWaitExcite,,,
2,*挿入,Insert,,,,,,,Insert,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,
2,*初々しい射精外,Orgasm,Belly,Belly,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,,
2,*初々しい射精中,Orgasm,Vagina,Vagina,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,,
3,*挿入,Insert,,,,,,,Insert,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,
3,*初々しい射精外,Orgasm,Belly,Back,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,,
3,*初々しい射精中,Orgasm,Vagina,Vagina,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,,
4,*挿入,Insert,,,,,,,Insert,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,
4,*初々しい射精外,Orgasm,Belly,Back,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,,
4,*初々しい射精中,Orgasm,Vagina,Vagina,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,,
5,*挿入,Insert,,,,,,,InsertMouth,,,,,
5,*待機,Waiting,,,,,,,Waiting,,,,,
5,*射精外,Orgasm,Ass,Face,,Maid1,Maid1,,3PFellatioFace,,OrgasmWaitExcite,,,
5,*射精中,Orgasm,Vagina,Mouth,,Maid1,Maid1,,3PFellatio,,OrgasmWaitExcite,,,
6,*挿入,Insert,,,,,,,Insert,,,,,
6,*待機,Waiting,,,,,,,Waiting,,,,,
6,*射精外,Orgasm,Belly,Face,,Maid1,Maid1,,3PFellatioFace,,OrgasmWaitExcite,,,
6,*射精中,Orgasm,Vagina,Mouth,,Maid1,Maid1,,3PFellatio,,OrgasmWaitExcite,,,
7,*挿入,Insert,,,,,,,Insert,,,,,
7,*待機,Waiting,,,,,,,Waiting,,,,,
7,*初々しい射精外,Orgasm,Belly,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
7,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
8,*挿入,Insert,,,,,,,Insert,,,,,
8,*待機,Waiting,,,,,,,Waiting,,,,,
8,*初々しい射精外,Orgasm,Belly,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
8,*射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
9,*挿入,Insert,,,,,,,Insert,,,,,
9,*待機,Waiting,,,,,,,Waiting,,,,,
9,*射精外,Orgasm,Belly,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
9,*射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
100,*待機,Waiting,,,,,,,Waiting,,,,,
101,*待機,Waiting,,,,,,,Waiting,,,,,
102,*待機,Waiting,,,,,,,Waiting,,,,,
103,*待機,Waiting,,,,,,,Waiting,,,,,
104,*挿入待機,Waiting,,,,,,,Waiting,,,,,
